Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_DC,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop_adons,PreferedOrderCat_Mobile,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,KMeansCluster
-1.215644460606573,-0.7182046718439373,-0.1919644309374059,-1.3339188661218133,-0.6760029383172131,1.4071179908463485,0.7114320017766688,1.5781950875218569,-1.305137998430634,-1.36447305768182,-0.8953747671333178,-0.11736691293128132,-1.108688362299838,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
-0.13524421571808828,-0.7182046718439373,-0.8101469953468817,-1.3339188661218133,-0.6760029383172131,-1.495880047067777,-0.8577598375975313,-0.6336352253955108,1.474707892406057,-0.42878690485007254,-0.8953747671333178,-1.2813631478785732,-1.2448200775832465,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
-1.215644460606573,0.3746310855834592,1.0444006978815457,0.08688498560415024,-2.628459940814931,1.4071179908463485,-1.2500577974410814,-0.6336352253955108,0.36276953607138057,-0.42878690485007254,-0.8953747671333178,-1.2813631478785732,-1.0403940957398725,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
-0.49537763068091656,-0.7182046718439373,-0.5628739695830913,0.08688498560415024,-0.6760029383172131,0.681368481367817,1.1037299616202187,-0.6336352253955108,-1.305137998430634,0.506899247981675,2.017993757695286,-0.4083659716681043,0.9974702729825677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.095599988952297,1.4674668430108557,1.9098562880548118,0.08688498560415024,0.30022556293164593,-1.495880047067777,-0.8577598375975313,-0.6336352253955108,-0.4711842311796267,0.506899247981675,0.2699726427981238,-0.6993650304049273,-0.5963671586409682,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.095599988952297,1.4674668430108557,0.1789451077082796,0.08688498560415024,0.30022556293164593,-1.495880047067777,-0.4654618777539813,-0.6336352253955108,-0.4711842311796267,0.506899247981675,-0.31270106216759697,-0.4083659716681043,-0.07468118933340757,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5850226142075683,1.4674668430108557,-0.5628739695830913,0.08688498560415024,-0.6760029383172131,0.681368481367817,2.280623841150869,1.5781950875218569,0.9187387142387188,1.9104284772292965,2.017993757695286,0.7556302632791877,0.2135708655116632,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.095599988952297,-0.7182046718439373,-0.8101469953468817,1.5076888373301138,-1.6522314395660722,-0.044381028110714406,-0.4654618777539813,-0.6336352253955108,0.6407541251550497,-0.42878690485007254,-0.31270106216759697,1.0466293220160106,0.04454826599870563,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-1.215644460606573,-0.7182046718439373,-0.1919644309374059,0.08688498560415024,-0.6760029383172131,-0.044381028110714406,-0.8577598375975313,-0.6336352253955108,-1.027153409346965,0.506899247981675,-0.31270106216759697,-0.6993650304049273,-1.1194235814580933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
-0.13524421571808828,-0.7182046718439373,-0.1919644309374059,1.5076888373301138,1.276454064180505,-1.495880047067777,-0.4654618777539813,-0.6336352253955108,0.9187387142387188,0.506899247981675,-0.31270106216759697,-0.6993650304049273,-0.5301285723453496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
